import time: self [us] | cumulative | imported package
import time:       326 |       1797 |       typer._completion_classes
import time:       717 |        717 |       typer.models
import time:       353 |        353 |       typer.params
import time:       324 |        324 |         copy
import time:       447 |        770 |       typer.utils
import time:       319 |       3955 |     typer.completion
import time:       272 |        272 |         rich._extension
import time:       464 |        735 |       rich
import time:       294 |        294 |           rich._loop
import time:       316 |        609 |         rich.box
import time:       281 |        281 |                   rich._cell_widths
import time:       358 |        638 |                 rich.cells
import time:       322 |        322 |                 rich.repr
import time:       872 |        872 |                       _bisect
import time:       206 |       1077 |                     bisect
import time:      1439 |       1439 |                     _random
import time:      1749 |       1749 |                     _sha2
import time:       598 |       4861 |                   random
import time:       273 |        273 |                   rich.errors
import time:       293 |        293 |                     colorsys
import time:       298 |        298 |                         rich.color_triplet
import time:       252 |        550 |                       rich.palette
import time:       117 |        666 |                     rich._palettes
import time:       348 |        348 |                     rich.terminal_theme
import time:       778 |       2083 |                   rich.color
import time:       507 |       7723 |                 rich.style
import time:       721 |       9403 |               rich.segment
import time:       225 |       9627 |             rich.jupyter
import time:       124 |        124 |               rich.protocol
import time:       357 |        481 |             rich.measure
import time:       221 |      10328 |           rich.constrain
import time:       306 |      10633 |         rich.align
import time:       559 |        559 |             dataclasses
import time:      1712 |       1712 |               termios
import time:       640 |       2351 |             getpass
import time:      1103 |       1103 |               html.entities
import time:      1092 |       2195 |             html
import time:       176 |        176 |             rich._null_file
import time:       476 |        476 |               rich.default_styles
import time:      1082 |       1082 |                 configparser
import time:       293 |       1374 |               rich.theme
import time:       123 |       1973 |             rich.themes
import time:      1345 |       1345 |               rich._emoji_codes
import time:       192 |       1536 |             rich._emoji_replace
import time:        98 |         98 |             rich._export_format
import time:        95 |         95 |             rich._fileno
import time:        90 |         90 |                 rich._pick
import time:       136 |        136 |                 rich._wrap
import time:       357 |        357 |                 rich.containers
import time:       219 |        219 |                 rich.control
import time:       236 |        236 |                 rich.emoji
import time:       842 |       1879 |               rich.text
import time:       325 |       2204 |             rich._log_render
import time:       212 |        212 |             rich.highlighter
import time:       381 |        381 |             rich.markup
import time:       123 |        123 |             rich.pager
import time:        35 |         35 |               attr
import time:       103 |        103 |               rich.abc
import time:      3305 |       3441 |             rich.pretty
import time:       313 |        313 |             rich.region
import time:       366 |        366 |                 rich.padding
import time:       732 |       1097 |               rich.panel
import time:       531 |        531 |                         numbers
import time:      3870 |       4400 |                       _decimal
import time:       199 |       4599 |                     decimal
import time:       792 |       5390 |                   fractions
import time:       291 |       5681 |                 rich._ratio
import time:      1227 |       6907 |               rich.table
import time:       228 |       8231 |             rich.scope
import time:       139 |        139 |             rich.screen
import time:       116 |        116 |             rich.styled
import time:      2138 |      26273 |           rich.console
import time:       314 |      26587 |         rich.columns
import time:       935 |        935 |                     markdown_it.common
import time:       363 |        363 |                     markdown_it.common.entities
import time:      1925 |       3222 |                   markdown_it.common.utils
import time:       245 |       3467 |                 markdown_it.helpers.parse_link_destination
import time:       165 |        165 |                         markdown_it._compat
import time:       418 |        418 |                           markdown_it.utils
import time:       616 |       1034 |                         markdown_it.ruler
import time:       773 |        773 |                         markdown_it.token
import time:       671 |       2641 |                       markdown_it.rules_inline.state_inline
import time:       352 |       2993 |                     markdown_it.rules_inline.emphasis
import time:       208 |        208 |                     markdown_it.rules_inline.strikethrough
import time:       366 |        366 |                     markdown_it.rules_inline.autolink
import time:       243 |        243 |                     markdown_it.rules_inline.backticks
import time:       311 |        311 |                     markdown_it.rules_inline.balance_pairs
import time:       359 |        359 |                     markdown_it.rules_inline.entity
import time:       127 |        127 |                     markdown_it.rules_inline.escape
import time:        89 |         89 |                     markdown_it.rules_inline.fragments_join
import time:       614 |        614 |                       markdown_it.common.html_re
import time:       100 |        713 |                     markdown_it.rules_inline.html_inline
import time:       362 |        362 |                     markdown_it.rules_inline.image
import time:       218 |        218 |                     markdown_it.rules_inline.link
import time:       473 |        473 |                     markdown_it.rules_inline.linkify
import time:       115 |        115 |                     markdown_it.rules_inline.newline
import time:        89 |         89 |                     markdown_it.rules_inline.text
import time:       411 |       7071 |                   markdown_it.rules_inline
import time:       114 |       7185 |                 markdown_it.helpers.parse_link_label
import time:       181 |        181 |                 markdown_it.helpers.parse_link_title
import time:       203 |      11034 |               markdown_it.helpers
import time:       225 |        225 |                 markdown_it.presets.commonmark
import time:       405 |        405 |                 markdown_it.presets.default
import time:       102 |        102 |                 markdown_it.presets.zero
import time:       228 |        958 |               markdown_it.presets
import time:       224 |        224 |                   mdurl._decode
import time:       506 |        506 |                   mdurl._encode
import time:       213 |        213 |                   mdurl._format
import time:       244 |        244 |                     mdurl._url
import time:       447 |        691 |                   mdurl._parse
import time:       212 |       1844 |                 mdurl
import time:       406 |        406 |                 markdown_it._punycode
import time:       271 |       2519 |               markdown_it.common.normalize_url
import time:       241 |        241 |                     markdown_it.rules_block.state_block
import time:       269 |        509 |                   markdown_it.rules_block.blockquote
import time:        92 |         92 |                   markdown_it.rules_block.code
import time:        84 |         84 |                   markdown_it.rules_block.fence
import time:        83 |         83 |                   markdown_it.rules_block.heading
import time:        90 |         90 |                   markdown_it.rules_block.hr
import time:       166 |        166 |                     markdown_it.common.html_blocks
import time:       803 |        968 |                   markdown_it.rules_block.html_block
import time:        99 |         99 |                   markdown_it.rules_block.lheading
import time:       178 |        178 |                   markdown_it.rules_block.list
import time:        84 |         84 |                   markdown_it.rules_block.paragraph
import time:       271 |        271 |                   markdown_it.rules_block.reference
import time:       249 |        249 |                   markdown_it.rules_block.table
import time:       158 |       2862 |                 markdown_it.rules_block
import time:       141 |       3002 |               markdown_it.parser_block
import time:        93 |         93 |                     markdown_it.rules_core.state_core
import time:       125 |        218 |                   markdown_it.rules_core.block
import time:        75 |         75 |                   markdown_it.rules_core.inline
import time:       289 |        289 |                   markdown_it.rules_core.linkify
import time:       168 |        168 |                   markdown_it.rules_core.normalize
import time:       376 |        376 |                   markdown_it.rules_core.replacements
import time:       224 |        224 |                   markdown_it.rules_core.smartquotes
import time:       266 |        266 |                   markdown_it.rules_core.text_join
import time:       137 |       1749 |                 markdown_it.rules_core
import time:       119 |       1868 |               markdown_it.parser_core
import time:       126 |        126 |               markdown_it.parser_inline
import time:       273 |        273 |               markdown_it.renderer
import time:        34 |         34 |               linkify_it
import time:       422 |      20232 |             markdown_it.main
import time:       215 |      20447 |           markdown_it
import time:       194 |        194 |           rich._stack
import time:       214 |        214 |           rich.rule
import time:       229 |        229 |               pygments
import time:       176 |        176 |               pygments.filter
import time:       319 |        319 |                 pygments.token
import time:       556 |        556 |                 pygments.util
import time:      2937 |       2937 |                       _csv
import time:       366 |       3303 |                     csv
import time:       201 |        201 |                     email
import time:       301 |        301 |                         zipfile._path.glob
import time:       489 |        789 |                       zipfile._path
import time:       943 |       1732 |                     zipfile
import time:       338 |        338 |                         quopri
import time:       712 |        712 |                             calendar
import time:       364 |       1075 |                           email._parseaddr
import time:       191 |        191 |                             email.base64mime
import time:       249 |        249 |                             email.quoprimime
import time:       434 |        434 |                             email.errors
import time:       197 |        197 |                             email.encoders
import time:       339 |       1408 |                           email.charset
import time:       457 |       2940 |                         email.utils
import time:       602 |        602 |                           email.header
import time:       324 |        925 |                         email._policybase
import time:       360 |        360 |                         email._encoded_words
import time:       747 |        747 |                         email.iterators
import time:       959 |       6267 |                       email.message
import time:       181 |        181 |                         importlib.metadata._functools
import time:       213 |        394 |                       importlib.metadata._text
import time:       559 |       7219 |                     importlib.metadata._adapters
import time:       329 |        329 |                     importlib.metadata._meta
import time:       263 |        263 |                     importlib.metadata._collections
import time:       194 |        194 |                     importlib.metadata._itertools
import time:       547 |        547 |                           tempfile
import time:       344 |        344 |                           importlib.resources.abc
import time:       240 |        240 |                           importlib.resources._adapters
import time:      1082 |       2212 |                         importlib.resources._common
import time:       263 |        263 |                         importlib.resources._legacy
import time:       209 |       2683 |                       importlib.resources
import time:       413 |       3096 |                     importlib.abc
import time:       881 |      17213 |                   importlib.metadata
import time:       213 |      17425 |                 pygments.plugin
import time:       481 |      18780 |               pygments.filters
import time:       264 |        264 |               pygments.regexopt
import time:       591 |      20038 |             pygments.lexer
import time:      1560 |       1560 |               pygments.lexers._mapping
import time:       341 |        341 |               pygments.modeline
import time:       364 |       2264 |             pygments.lexers
import time:       346 |        346 |             pygments.style
import time:       263 |        263 |               pygments.styles._mapping
import time:       208 |        470 |             pygments.styles
import time:       828 |      23944 |           rich.syntax
import time:       539 |      45335 |         rich.markdown
import time:       635 |      83797 |       typer.rich_utils
import time:       662 |      85193 |     typer.core
import time:      1750 |       1750 |     rich.traceback
import time:       718 |      94967 |   typer.main
import time:       306 |     115049 | typer
import time:       356 |        356 |   rich._spinners
import time:       704 |       1059 | rich.spinner
import time:       520 |        520 |       pydantic_settings.exceptions
import time:      2094 |       2094 |         argparse
import time:       375 |        375 |             pydantic.version
import time:       748 |       1123 |           pydantic._migration
import time:      3101 |       3101 |             typing_extensions
import time:       759 |       3859 |           pydantic.errors
import time:       674 |       5655 |         pydantic
import time:       746 |        746 |             pydantic_core._pydantic_core
import time:       465 |       1211 |           pydantic_core
import time:       417 |       1627 |         pydantic.aliases
import time:      1273 |      10648 |       pydantic_settings.main
import time:      1204 |      12372 |     pydantic_settings
import time:   3471602 |    3483974 |   hydra_reposter.core.config
import time:  11525624 |   15009597 | hydra_reposter.core
Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/Users/ivanpravdin/Desktop/Hydra/hydra_reposter/cli.py", line 19, in <module>
    from hydra_reposter.core import settings
  File "/Users/ivanpravdin/Desktop/Hydra/hydra_reposter/core/__init__.py", line 1, in <module>
    from .config import Settings
  File "/Users/ivanpravdin/Desktop/Hydra/hydra_reposter/core/config.py", line 3, in <module>
    from pydantic_settings import BaseSettings, SettingsConfigDict
  File "/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic_settings/__init__.py", line 2, in <module>
    from .main import BaseSettings, CliApp, SettingsConfigDict
  File "/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic_settings/main.py", line 10, in <module>
    from pydantic import ConfigDict
  File "/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic/__init__.py", line 395, in __getattr__
    module = import_module(module_name, package=package)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/__init__.py", line 90, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic/config.py", line 9, in <module>
    from .aliases import AliasGenerator
  File "/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic/aliases.py", line 7, in <module>
    from pydantic_core import PydanticUndefined
  File "/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic_core/__init__.py", line 6, in <module>
    from ._pydantic_core import (
ImportError: dlopen(/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-darwin.so, 0x0002): tried: '/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-darwin.so' (mach-o file, but is an incompatible architecture (have 'x86_64', need 'arm64e' or 'arm64')), '/System/Volumes/Preboot/Cryptexes/OS/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-darwin.so' (no such file), '/Users/ivanpravdin/Desktop/Hydra/.venv/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-darwin.so' (mach-o file, but is an incompatible architecture (have 'x86_64', need 'arm64e' or 'arm64'))
